File Path,File Id,Class Name,Class Id,StartLine,EndLine,Cyclometric Density,Decision Density,Essential Density,Branch Count,Condition Count,Cyclometric Complexity,Decision Count,Essential Complexity,LOC,Total Operands,Total Operators,Unique Operands Count,Unique Operators Count,Halstead Difficulty,Halstead Length,Halstead Level,Halstead Programming Effort,Halstead Programming Time,Halstead Volume,Maintenance Severity,Coupling Between Objects,Fan In,Number of Children,Percentage of Pub Data,Response for Class,Weighted Methods,Defected?(false/true) 
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\CyclomaticComplexityMetric.java,1,.CyclomaticComplexityMetric,2,9110,9155,15,0.75,0.5714285714285714,7,3,3.066666666666667,4,9,46,15,24,13,11,6.346153846153846,39,0.1575757575757576,1.3802112417116061,0.07667840231731145,0.2174878320272834,0.6,0,0,0,0.0,4,4,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\CyclomaticComplexityMetric.java,1,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.CyclomaticComplexityMetric,288,13662,13707,15,0.75,0.5714285714285714,7,3,3.066666666666667,4,9,46,15,24,13,11,6.346153846153846,39,0.1575757575757576,1.3802112417116061,0.07667840231731145,0.2174878320272834,0.6,0,0,0,0.0,4,4,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\LOCMetrics.java,7,.LOCMetrics,8,9158,9187,10,0.0,1.0,0,0,3.0,0,10,30,18,18,8,3,3.375,36,0.2962962962962963,1.041392685158225,0.05785514917545694,0.30856079560243704,1.0,0,8,0,100.0,2,2,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\LOCMetrics.java,7,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.LOCMetrics,293,13710,13739,10,0.0,1.0,0,0,3.0,0,10,30,18,18,8,3,3.375,36,0.2962962962962963,1.041392685158225,0.05785514917545694,0.30856079560243704,1.0,0,0,0,100.0,2,2,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ObjectOrientedMetrics,16,9196,9242,17,2.0,0.9375,1,2,2.764705882352941,1,16,47,11,14,4,6,8.25,25,0.1212121212121212,0.9999999999999999,0.05555555555555555,0.1212121212121212,0.9411764705882353,0,0,0,0.0,8,8,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\ObjectOrientedMetrics.java,15,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.ObjectOrientedMetrics,299,13748,13794,17,2.0,0.9375,1,2,2.764705882352941,1,16,47,11,14,4,6,8.25,25,0.1212121212121212,0.9999999999999999,0.05555555555555555,0.1212121212121212,0.9411764705882353,0,0,0,0.0,8,8,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\Result.java,25,.Result,26,9245,9247,0,0.0,1.0,0,0,Infinity,0,0,3,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\Result.java,25,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.Result,308,13797,13799,0,0.0,1.0,0,0,Infinity,0,0,3,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\Analyzer.java,28,.Analyzer,29,9254,9272,6,0.0,1.0,0,0,3.1666666666666665,0,6,19,4,5,4,3,1.5,9,0.6666666666666666,0.8450980400142568,0.046949891111903154,0.5633986933428379,1.0,2,0,10,100.0,1,1,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppParser\Analyzer.java,28,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.Analyzer,309,13806,13824,6,0.0,1.0,0,0,3.1666666666666665,0,6,19,4,5,4,3,1.5,9,0.6666666666666666,0.8450980400142568,0.046949891111903154,0.5633986933428379,1.0,2,0,0,100.0,1,1,false
