File Name,File Id,Class Name,Method Name,Method Id,StartLine,EndLine,Cyclometric Density,Decision Density,Essential Density,Branch Count,Condition Count,Cyclometric Complexity,Decision Count,Essential Complexity,LOC,Total Operands,Total Operators,Unique Operands Count,Unique Operators Count,Halstead Difficulty,Halstead Length,Halstead Level,Halstead Programming Effort,Halstead Programming Time,Halstead Volume,Maintenance Severity,Formal Parameters,Call Pair Length,Defected?(false/true)
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\CyclomaticComplexityMetric.java,1,.CyclomaticComplexityMetric,calculateMetrics,3,9110,9155,8,0.75,0.14285714285714285,7,3,4.25,4,2,34,13,16,11,7,4.136363636363637,29,0.24175824175824176,1.255272505103306,0.0697373613946281,0.3034724737612388,0.25,0,3,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\CyclomaticComplexityMetric.java,1,.CyclomaticComplexityMetric,getResults,4,9110,9155,1,0.0,0.0,0,0,4.0,0,1,4,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\CyclomaticComplexityMetric.java,1,.CyclomaticComplexityMetric,calculateVGComplexity,5,9110,9155,1,0.0,0.0,0,0,3.0,0,1,3,0,3,0,3,0.0,3,0.0,0.0,0.0,0.0,1.0,3,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\CyclomaticComplexityMetric.java,1,.CyclomaticComplexityMetric,calculateVCComplexity,6,9110,9155,1,0.0,0.0,0,0,3.0,0,1,3,1,4,1,4,2.0,5,0.5,0.6989700043360189,0.0388316669075566,0.34948500216800943,1.0,3,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\CyclomaticComplexityMetric.java,1,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.CyclomaticComplexityMetric,calculateMetrics,289,13662,13707,8,0.75,0.14285714285714285,7,3,4.25,4,2,34,13,16,11,7,4.136363636363637,29,0.24175824175824176,1.255272505103306,0.0697373613946281,0.3034724737612388,0.25,0,3,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\CyclomaticComplexityMetric.java,1,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.CyclomaticComplexityMetric,getResults,290,13662,13707,1,0.0,0.0,0,0,4.0,0,1,4,1,1,1,1,0.5,2,2.0,0.3010299956639812,0.016723888647998956,0.6020599913279624,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\CyclomaticComplexityMetric.java,1,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.CyclomaticComplexityMetric,calculateVGComplexity,291,13662,13707,1,0.0,0.0,0,0,3.0,0,1,3,0,3,0,3,0.0,3,0.0,0.0,0.0,0.0,1.0,3,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\CyclomaticComplexityMetric.java,1,.ParsedObjectManager.FunctionCall.FunctionFinder.LLOCCounter.VarFinder.CppFunc.CyclomaticComplexityMetric,calculateVCComplexity,292,13662,13707,1,0.0,0.0,0,0,3.0,0,1,3,1,4,1,4,2.0,5,0.5,0.6989700043360189,0.0388316669075566,0.34948500216800943,1.0,3,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\LOCMetrics.java,7,.LOCMetrics,calculateMetrics,9,9158,9187,1,0.0,0.0,0,0,3.0,0,1,3,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
F:\Ohjelmointi\Prest\cppParserProj\src\cppMetrics\LOCMetrics.java,7,.LOCMetrics,LOCMetrics,10,9158,9187,1,0.0,0.0,0,0,2.0,0,1,2,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0,false
